fips,white,non_white,pctwhite
12091,150071.0,180822.0,0.8299377288161839
12093,35377.0,39996.0,0.8845134513451345
12095,803406.0,1145956.0,0.7010792735497698
12097,217729.0,268685.0,0.8103504103318012
12099,1024823.0,1320134.0,0.7763022541651075
12101,422416.0,464697.0,0.90901383051752
12103,771297.0,916542.0,0.8415293570834724
12105,485704.0,602095.0,0.8066899741735108
12107,60114.0,74364.0,0.8083750201710506
12109,171534.0,190039.0,0.9026252506064545
12111,212075.0,277789.0,0.7634391570580549
12113,134452.0,151372.0,0.8882223925164495
12115,349923.0,379448.0,0.9221896017372604
12117,346278.0,422718.0,0.8191702269598172
12119,82378.0,93420.0,0.8818026118604153
12121,35622.0,41551.0,0.857307886693461
12123,17195.0,22570.0,0.7618520159503767
12125,11772.0,15535.0,0.7577727711618925
12127,422692.0,494593.0,0.8546259247502492
12129,25377.0,30776.0,0.8245710943592409
12131,49505.0,55043.0,0.8993877513943644
12133,20177.0,24896.0,0.8104514781491002
13001,14398.0,18236.0,0.7895371792059662
13003,6527.0,8375.0,0.7793432835820896
13005,9151.0,11096.0,0.8247116077865898
13007,1753.0,3451.0,0.5079687047232686
13009,25440.0,45720.0,0.5564304461942258
13011,17482.0,18395.0,0.9503669475400924
13013,57209.0,69367.0,0.8247293381579137
13015,86569.0,100157.0,0.8643329971944048
13017,11070.0,17634.0,0.6277645457638653
13019,16855.0,19286.0,0.8739500155553251
13021,68864.0,155547.0,0.44272149253923254
13023,9249.0,13063.0,0.7080303146291052
13025,17526.0,18411.0,0.9519309108685026
13027,10209.0,16243.0,0.6285168995875147
13029,24553.0,30233.0,0.8121258227764363
13031,48313.0,70217.0,0.6880527507583634
13033,11309.0,23316.0,0.4850317378624121
13035,16718.0,23655.0,0.7067427605157472
13037,2431.0,6694.0,0.363161039737078
13039,38128.0,50513.0,0.7548155920258152
13043,8135.0,10998.0,0.7396799418076013
13045,86559.0,110527.0,0.7831480090837533
13047,60430.0,63942.0,0.9450752244221325
13049,8385.0,12171.0,0.6889327088982007
13051,145132.0,265128.0,0.5474035183005944
13053,8191.0,11267.0,0.726990325730008
13055,22465.0,26015.0,0.8635402652315971
13057,193048.0,214346.0,0.9006372873764847
